time,ecg2,sequence_counter,packet_size
NaN,-3.750000000e+02,7040350.10,
NaN,-4.030000000e+02,7040350.11,
NaN,-3.650000000e+02,7040350.12,
NaN,-3.220000000e+02,7040350.13,
NaN,-3.310000000e+02,7040350.14,
NaN,-1.940000000e+02,7040350.15,
NaN,-2.130000000e+02,7040350.16,
NaN,-1.480000000e+02,7040350.17,
NaN,-6.300000000e+01,7040350.18,
NaN,-8.400000000e+01,7040350.19,
NaN,4.600000000e+01,7040350.20,
NaN,2.900000000e+01,7040350.21,
NaN,6.200000000e+01,7040350.22,
NaN,1.820000000e+02,7040350.23,
NaN,1.630000000e+02,7040350.24,
NaN,3.190000000e+02,7040350.25,
NaN,3.560000000e+02,7040350.26,
NaN,3.520000000e+02,7040350.27,
NaN,4.900000000e+02,7040350.28,
NaN,4.800000000e+02,7040350.29,
23150508567,6.130000000e+02,7040350.30,
NaN,7.170000000e+02,7040351.00,31
NaN,7.020000000e+02,7040351.01,
NaN,7.880000000e+02,7040351.02,
NaN,7.740000000e+02,7040351.03,
NaN,8.710000000e+02,7040351.04,
NaN,8.790000000e+02,7040351.05,
NaN,7.190000000e+02,7040351.06,
NaN,6.670000000e+02,7040351.07,
NaN,4.000000000e+02,7040351.08,
NaN,1.900000000e+02,7040351.09,
NaN,7.100000000e+01,7040351.10,
NaN,-1.380000000e+02,7040351.11,
NaN,-1.420000000e+02,7040351.12,
NaN,-2.170000000e+02,7040351.13,
NaN,-2.450000000e+02,7040351.14,
NaN,-1.750000000e+02,7040351.15,
NaN,-2.640000000e+02,7040351.16,
NaN,-1.950000000e+02,7040351.17,
NaN,-1.940000000e+02,7040351.18,
NaN,-2.130000000e+02,7040351.19,
NaN,-1.130000000e+02,7040351.20,
NaN,-1.860000000e+02,7040351.21,
NaN,-1.380000000e+02,7040351.22,
NaN,-1.390000000e+02,7040351.23,
NaN,-2.120000000e+02,7040351.24,
NaN,-1.340000000e+02,7040351.25,
NaN,-2.110000000e+02,7040351.26,
NaN,-1.860000000e+02,7040351.27,
NaN,-1.570000000e+02,7040351.28,
NaN,-2.450000000e+02,7040351.29,
23150516504,-1.750000000e+02,7040351.30,
NaN,-2.370000000e+02,7040352.00,31
NaN,-2.250000000e+02,7040352.01,
NaN,-5.700000000e+01,7040352.02,
NaN,8.000000000e+01,7040352.03,
NaN,2.640000000e+02,7040352.04,
NaN,2.710000000e+02,7040352.05,
NaN,4.390000000e+02,7040352.06,
NaN,5.820000000e+02,7040352.07,
NaN,3.840000000e+02,7040352.08,
NaN,3.630000000e+02,7040352.09,
NaN,1.300000000e+02,7040352.10,
NaN,-1.950000000e+02,7040352.11,
NaN,-2.410000000e+02,7040352.12,
NaN,-4.110000000e+02,7040352.13,
NaN,-4.340000000e+02,7040352.14,
NaN,-4.290000000e+02,7040352.15,
NaN,-5.010000000e+02,7040352.16,
NaN,-4.120000000e+02,7040352.17,
NaN,-4.610000000e+02,7040352.18,
NaN,-4.780000000e+02,7040352.19,
NaN,-4.050000000e+02,7040352.20,
NaN,-4.770000000e+02,7040352.21,
NaN,-5.570000000e+02,7040352.22,
NaN,-1.130000000e+02,7040352.23,
NaN,1.103000000e+03,7040352.24,
NaN,2.934000000e+03,7040352.25,
NaN,4.125000000e+03,7040352.26,
NaN,2.278000000e+03,7040352.27,
NaN,-3.820000000e+02,7040352.28,
NaN,-5.850000000e+02,7040352.29,
23150524441,-3.090000000e+02,7040352.30,
NaN,-5.160000000e+02,7040353.00,31
NaN,-3.920000000e+02,7040353.01,
NaN,-4.560000000e+02,7040353.02,
NaN,-5.040000000e+02,7040353.03,
NaN,-3.620000000e+02,7040353.04,
NaN,-4.280000000e+02,7040353.05,
NaN,-3.570000000e+02,7040353.06,
NaN,-2.840000000e+02,7040353.07,
NaN,-3.210000000e+02,7040353.08,
NaN,-1.930000000e+02,7040353.09,
NaN,-2.040000000e+02,7040353.10,
NaN,-1.580000000e+02,7040353.11,
NaN,-6.500000000e+01,7040353.12,
NaN,-9.700000000e+01,7040353.13,
NaN,3.800000000e+01,7040353.14,
NaN,6.500000000e+01,7040353.15,
NaN,9.500000000e+01,7040353.16,
NaN,2.030000000e+02,7040353.17,
NaN,1.780000000e+02,7040353.18,
NaN,3.110000000e+02,7040353.19,
NaN,3.660000000e+02,7040353.20,
NaN,3.860000000e+02,7040353.21,
NaN,5.210000000e+02,7040353.22,
NaN,5.150000000e+02,7040353.23,
NaN,6.240000000e+02,7040353.24,
NaN,6.700000000e+02,7040353.25,
NaN,6.460000000e+02,7040353.26,
NaN,7.710000000e+02,7040353.27,
NaN,7.370000000e+02,7040353.28,
NaN,7.360000000e+02,7040353.29,
23150532383,6.580000000e+02,7040353.30,
NaN,4.060000000e+02,7040354.00,31
NaN,2.810000000e+02,7040354.01,
NaN,5.100000000e+01,7040354.02,
NaN,-9.900000000e+01,7040354.03,
NaN,-1.550000000e+02,7040354.04,
NaN,-2.860000000e+02,7040354.05,
NaN,-2.180000000e+02,7040354.06,
NaN,-2.680000000e+02,7040354.07,
NaN,-2.920000000e+02,7040354.08,
NaN,-1.880000000e+02,7040354.09,
NaN,-2.560000000e+02,7040354.10,
NaN,-1.860000000e+02,7040354.11,
