time,accel.z,sequence_counter,packet_size
NaN,4.304000000e+03,7042724.00,12
NaN,4.302000000e+03,7042724.01,
NaN,4.308000000e+03,7042724.02,
NaN,4.260000000e+03,7042724.03,
NaN,4.273000000e+03,7042724.04,
NaN,4.305000000e+03,7042724.05,
NaN,4.323000000e+03,7042724.06,
NaN,4.316000000e+03,7042724.07,
NaN,4.258000000e+03,7042724.08,
NaN,4.233000000e+03,7042724.09,
NaN,4.204000000e+03,7042724.10,
23150563502,4.196000000e+03,7042724.11,
NaN,4.177000000e+03,7042725.00,12
NaN,4.172000000e+03,7042725.01,
NaN,4.173000000e+03,7042725.02,
NaN,4.175000000e+03,7042725.03,
NaN,4.164000000e+03,7042725.04,
NaN,4.208000000e+03,7042725.05,
NaN,4.286000000e+03,7042725.06,
NaN,4.315000000e+03,7042725.07,
NaN,4.388000000e+03,7042725.08,
NaN,4.220000000e+03,7042725.09,
NaN,4.007000000e+03,7042725.10,
23150567459,4.222000000e+03,7042725.11,
NaN,4.155000000e+03,7042726.00,12
NaN,4.074000000e+03,7042726.01,
NaN,4.377000000e+03,7042726.02,
NaN,4.434000000e+03,7042726.03,
NaN,4.341000000e+03,7042726.04,
NaN,4.231000000e+03,7042726.05,
NaN,4.293000000e+03,7042726.06,
NaN,4.272000000e+03,7042726.07,
NaN,4.181000000e+03,7042726.08,
NaN,4.195000000e+03,7042726.09,
NaN,4.331000000e+03,7042726.10,
23150571417,4.482000000e+03,7042726.11,
NaN,4.538000000e+03,7042727.00,12
NaN,4.421000000e+03,7042727.01,
NaN,4.287000000e+03,7042727.02,
NaN,4.153000000e+03,7042727.03,
NaN,4.161000000e+03,7042727.04,
NaN,4.157000000e+03,7042727.05,
NaN,4.082000000e+03,7042727.06,
NaN,4.062000000e+03,7042727.07,
NaN,4.125000000e+03,7042727.08,
NaN,4.166000000e+03,7042727.09,
NaN,4.177000000e+03,7042727.10,
23150575374,4.055000000e+03,7042727.11,
NaN,3.988000000e+03,7042728.00,12
NaN,4.251000000e+03,7042728.01,
NaN,4.427000000e+03,7042728.02,
NaN,4.287000000e+03,7042728.03,
NaN,4.169000000e+03,7042728.04,
NaN,4.258000000e+03,7042728.05,
NaN,4.383000000e+03,7042728.06,
NaN,4.282000000e+03,7042728.07,
NaN,4.158000000e+03,7042728.08,
NaN,4.209000000e+03,7042728.09,
NaN,4.260000000e+03,7042728.10,
23150579332,4.259000000e+03,7042728.11,
NaN,4.206000000e+03,7042729.00,12
NaN,4.205000000e+03,7042729.01,
NaN,4.257000000e+03,7042729.02,
NaN,4.251000000e+03,7042729.03,
NaN,4.253000000e+03,7042729.04,
NaN,4.300000000e+03,7042729.05,
NaN,4.260000000e+03,7042729.06,
NaN,4.149000000e+03,7042729.07,
