time,ecg2,sequence_counter,packet_size
NaN,-2.400000000e+02,7014351.21,
NaN,-2.040000000e+02,7014351.22,
NaN,-1.780000000e+02,7014351.23,
NaN,-1.410000000e+02,7014351.24,
NaN,-1.090000000e+02,7014351.25,
NaN,-1.500000000e+01,7014351.26,
NaN,1.600000000e+01,7014351.27,
NaN,1.000000000e+01,7014351.28,
NaN,1.430000000e+02,7014351.29,
22999240699,1.200000000e+02,7014351.30,
NaN,-2.500000000e+01,7014352.00,31
NaN,-6.000000000e+00,7014352.01,
NaN,-2.000000000e+01,7014352.02,
NaN,-1.200000000e+01,7014352.03,
NaN,4.700000000e+01,7014352.04,
NaN,2.500000000e+01,7014352.05,
NaN,2.400000000e+01,7014352.06,
NaN,-2.100000000e+01,7014352.07,
NaN,-1.340000000e+02,7014352.08,
NaN,-1.240000000e+02,7014352.09,
NaN,-1.090000000e+02,7014352.10,
NaN,-1.860000000e+02,7014352.11,
NaN,-1.630000000e+02,7014352.12,
NaN,-1.220000000e+02,7014352.13,
NaN,-1.810000000e+02,7014352.14,
NaN,-2.090000000e+02,7014352.15,
NaN,-2.520000000e+02,7014352.16,
NaN,-2.180000000e+02,7014352.17,
NaN,-1.570000000e+02,7014352.18,
NaN,-1.940000000e+02,7014352.19,
NaN,-1.120000000e+02,7014352.20,
NaN,-1.410000000e+02,7014352.21,
NaN,-2.840000000e+02,7014352.22,
NaN,-2.380000000e+02,7014352.23,
NaN,-2.580000000e+02,7014352.24,
NaN,-3.280000000e+02,7014352.25,
NaN,-2.860000000e+02,7014352.26,
NaN,-2.670000000e+02,7014352.27,
NaN,-2.840000000e+02,7014352.28,
NaN,-2.680000000e+02,7014352.29,
22999248635,-2.530000000e+02,7014352.30,
NaN,-3.280000000e+02,7014353.00,31
NaN,-3.790000000e+02,7014353.01,
NaN,-2.910000000e+02,7014353.02,
NaN,-2.700000000e+02,7014353.03,
NaN,-3.350000000e+02,7014353.04,
NaN,-3.600000000e+02,7014353.05,
NaN,-3.010000000e+02,7014353.06,
NaN,-2.170000000e+02,7014353.07,
NaN,-2.440000000e+02,7014353.08,
NaN,-1.980000000e+02,7014353.09,
NaN,2.400000000e+01,7014353.10,
NaN,1.330000000e+02,7014353.11,
NaN,3.000000000e+02,7014353.12,
NaN,6.080000000e+02,7014353.13,
NaN,4.800000000e+02,7014353.14,
NaN,1.280000000e+02,7014353.15,
NaN,5.100000000e+01,7014353.16,
NaN,-1.260000000e+02,7014353.17,
NaN,-3.880000000e+02,7014353.18,
NaN,-4.610000000e+02,7014353.19,
NaN,-5.280000000e+02,7014353.20,
NaN,-5.680000000e+02,7014353.21,
NaN,-5.120000000e+02,7014353.22,
NaN,-5.290000000e+02,7014353.23,
NaN,-5.560000000e+02,7014353.24,
NaN,-4.410000000e+02,7014353.25,
NaN,-6.180000000e+02,7014353.26,
NaN,-5.360000000e+02,7014353.27,
NaN,5.080000000e+02,7014353.28,
NaN,1.849000000e+03,7014353.29,
22999256573,3.506000000e+03,7014353.30,
NaN,3.103000000e+03,7014354.00,31
NaN,-8.000000000e+00,7014354.01,
NaN,-1.149000000e+03,7014354.02,
NaN,-6.310000000e+02,7014354.03,
NaN,-7.020000000e+02,7014354.04,
NaN,-5.830000000e+02,7014354.05,
NaN,-5.850000000e+02,7014354.06,
NaN,-5.760000000e+02,7014354.07,
NaN,-4.390000000e+02,7014354.08,
NaN,-5.620000000e+02,7014354.09,
NaN,-5.350000000e+02,7014354.10,
NaN,-3.730000000e+02,7014354.11,
NaN,-2.920000000e+02,7014354.12,
NaN,-2.010000000e+02,7014354.13,
NaN,-1.820000000e+02,7014354.14,
NaN,-2.040000000e+02,7014354.15,
NaN,-1.650000000e+02,7014354.16,
NaN,-1.140000000e+02,7014354.17,
NaN,-4.900000000e+01,7014354.18,
NaN,1.000000000e+00,7014354.19,
NaN,2.400000000e+01,7014354.20,
NaN,7.700000000e+01,7014354.21,
NaN,7.500000000e+01,7014354.22,
NaN,9.300000000e+01,7014354.23,
NaN,1.970000000e+02,7014354.24,
NaN,3.110000000e+02,7014354.25,
NaN,3.080000000e+02,7014354.26,
NaN,1.860000000e+02,7014354.27,
NaN,2.130000000e+02,7014354.28,
NaN,2.250000000e+02,7014354.29,
22999264509,1.180000000e+02,7014354.30,
NaN,1.480000000e+02,7014355.00,31
NaN,2.150000000e+02,7014355.01,
NaN,2.390000000e+02,7014355.02,
NaN,2.230000000e+02,7014355.03,
NaN,1.750000000e+02,7014355.04,
NaN,1.950000000e+02,7014355.05,
NaN,1.200000000e+02,7014355.06,
NaN,7.100000000e+01,7014355.07,
NaN,1.350000000e+02,7014355.08,
