time,accel.z,sequence_counter,packet_size
NaN,-1.565000000e+03,7014718.10,
22999303578,-1.571000000e+03,7014718.11,
NaN,-1.603000000e+03,7014719.00,12
NaN,-1.622000000e+03,7014719.01,
NaN,-1.646000000e+03,7014719.02,
NaN,-1.659000000e+03,7014719.03,
NaN,-1.663000000e+03,7014719.04,
NaN,-1.732000000e+03,7014719.05,
NaN,-1.781000000e+03,7014719.06,
NaN,-1.776000000e+03,7014719.07,
NaN,-1.702000000e+03,7014719.08,
NaN,-1.712000000e+03,7014719.09,
NaN,-1.700000000e+03,7014719.10,
22999307536,-1.646000000e+03,7014719.11,
NaN,-1.648000000e+03,7014720.00,12
NaN,-1.691000000e+03,7014720.01,
NaN,-1.754000000e+03,7014720.02,
NaN,-1.835000000e+03,7014720.03,
NaN,-1.846000000e+03,7014720.04,
NaN,-1.849000000e+03,7014720.05,
NaN,-1.784000000e+03,7014720.06,
NaN,-1.763000000e+03,7014720.07,
NaN,-1.793000000e+03,7014720.08,
NaN,-1.734000000e+03,7014720.09,
NaN,-1.803000000e+03,7014720.10,
22999311493,-1.819000000e+03,7014720.11,
NaN,-1.773000000e+03,7014721.00,12
NaN,-1.769000000e+03,7014721.01,
NaN,-1.750000000e+03,7014721.02,
NaN,-1.757000000e+03,7014721.03,
NaN,-1.831000000e+03,7014721.04,
NaN,-1.821000000e+03,7014721.05,
NaN,-1.797000000e+03,7014721.06,
NaN,-1.805000000e+03,7014721.07,
NaN,-1.775000000e+03,7014721.08,
NaN,-1.711000000e+03,7014721.09,
NaN,-1.719000000e+03,7014721.10,
22999315450,-1.726000000e+03,7014721.11,
NaN,-1.694000000e+03,7014722.00,12
NaN,-1.716000000e+03,7014722.01,
NaN,-1.792000000e+03,7014722.02,
NaN,-1.796000000e+03,7014722.03,
NaN,-1.845000000e+03,7014722.04,
NaN,-1.801000000e+03,7014722.05,
NaN,-1.729000000e+03,7014722.06,
NaN,-1.772000000e+03,7014722.07,
NaN,-1.777000000e+03,7014722.08,
NaN,-1.796000000e+03,7014722.09,
NaN,-1.827000000e+03,7014722.10,
22999319408,-1.756000000e+03,7014722.11,
NaN,-1.691000000e+03,7014723.00,12
NaN,-1.896000000e+03,7014723.01,
NaN,-2.025000000e+03,7014723.02,
NaN,-2.115000000e+03,7014723.03,
NaN,-2.228000000e+03,7014723.04,
NaN,-2.004000000e+03,7014723.05,
NaN,-1.571000000e+03,7014723.06,
NaN,-1.451000000e+03,7014723.07,
NaN,-1.605000000e+03,7014723.08,
NaN,-1.878000000e+03,7014723.09,
NaN,-2.033000000e+03,7014723.10,
22999323365,-2.154000000e+03,7014723.11,
NaN,-2.089000000e+03,7014724.00,12
NaN,-2.010000000e+03,7014724.01,
NaN,-1.872000000e+03,7014724.02,
NaN,-1.772000000e+03,7014724.03,
NaN,-1.845000000e+03,7014724.04,
NaN,-1.859000000e+03,7014724.05,
NaN,-1.890000000e+03,7014724.06,
NaN,-1.968000000e+03,7014724.07,
NaN,-1.952000000e+03,7014724.08,
NaN,-1.941000000e+03,7014724.09,
NaN,-1.985000000e+03,7014724.10,
22999327323,-1.960000000e+03,7014724.11,
NaN,-1.926000000e+03,7014725.00,12
NaN,-1.845000000e+03,7014725.01,
NaN,-1.907000000e+03,7014725.02,
NaN,-1.875000000e+03,7014725.03,
NaN,-1.854000000e+03,7014725.04,
NaN,-1.867000000e+03,7014725.05,
NaN,-1.862000000e+03,7014725.06,
NaN,-1.894000000e+03,7014725.07,
NaN,-1.911000000e+03,7014725.08,
NaN,-1.865000000e+03,7014725.09,
NaN,-1.929000000e+03,7014725.10,
22999331280,-1.935000000e+03,7014725.11,
NaN,-1.936000000e+03,7014726.00,12
NaN,-1.911000000e+03,7014726.01,
NaN,-1.878000000e+03,7014726.02,
NaN,-1.929000000e+03,7014726.03,
NaN,-1.784000000e+03,7014726.04,
NaN,-1.729000000e+03,7014726.05,
NaN,-1.746000000e+03,7014726.06,
NaN,-1.737000000e+03,7014726.07,
NaN,-1.745000000e+03,7014726.08,
