time,accel.x,sequence_counter,packet_size
NaN,1.071900000e+04,7038053.02,
NaN,1.070700000e+04,7038053.03,
NaN,1.070600000e+04,7038053.04,
NaN,1.072200000e+04,7038053.05,
NaN,1.069300000e+04,7038053.06,
NaN,1.069900000e+04,7038053.07,
NaN,1.069500000e+04,7038053.08,
NaN,1.070800000e+04,7038053.09,
NaN,1.070200000e+04,7038053.10,
23111385227,1.069300000e+04,7038053.11,
NaN,1.066100000e+04,7038054.00,12
NaN,1.066100000e+04,7038054.01,
NaN,1.067900000e+04,7038054.02,
NaN,1.066800000e+04,7038054.03,
NaN,1.068700000e+04,7038054.04,
NaN,1.077700000e+04,7038054.05,
NaN,1.078500000e+04,7038054.06,
NaN,1.080800000e+04,7038054.07,
NaN,1.080500000e+04,7038054.08,
NaN,1.068800000e+04,7038054.09,
NaN,1.059800000e+04,7038054.10,
23111389185,1.049400000e+04,7038054.11,
NaN,1.062000000e+04,7038055.00,12
NaN,1.076400000e+04,7038055.01,
NaN,1.080800000e+04,7038055.02,
NaN,1.082200000e+04,7038055.03,
NaN,1.082000000e+04,7038055.04,
NaN,1.081200000e+04,7038055.05,
NaN,1.072100000e+04,7038055.06,
NaN,1.069900000e+04,7038055.07,
NaN,1.071800000e+04,7038055.08,
NaN,1.068000000e+04,7038055.09,
NaN,1.067500000e+04,7038055.10,
23111393143,1.071600000e+04,7038055.11,
NaN,1.069200000e+04,7038056.00,12
NaN,1.066600000e+04,7038056.01,
NaN,1.066900000e+04,7038056.02,
NaN,1.062000000e+04,7038056.03,
NaN,1.062200000e+04,7038056.04,
NaN,1.063200000e+04,7038056.05,
NaN,1.060000000e+04,7038056.06,
NaN,1.062800000e+04,7038056.07,
NaN,1.063500000e+04,7038056.08,
NaN,1.068800000e+04,7038056.09,
NaN,1.069500000e+04,7038056.10,
23111397102,1.068400000e+04,7038056.11,
NaN,1.066000000e+04,7038057.00,12
NaN,1.064700000e+04,7038057.01,
NaN,1.069000000e+04,7038057.02,
NaN,1.067600000e+04,7038057.03,
NaN,1.067400000e+04,7038057.04,
